region_id,start_date,end_date,region_type,cycle,level,label_freq,confidence,usable_for_signal,entry_start,entry_end,exit_start,exit_end,reason,notes
B201501_daily_short_01,2015-01-27,2015-02-12,bottom,short,minor,daily,2,1,2015-02-11,2015-02-12,,,technical_pullback,
B201503_daily_short_01,2015-03-26,2015-04-01,bottom,short,swing,daily,2,1,2015-03-30,2015-03-31,,,technical_pullback,
B201504_daily_medium_01,2015-04-08,2015-05-08,bottom,medium,major,daily,2,1,2015-04-17,2015-05-08,,,technical_pullback,
B201504_daily_short_01,2015-04-30,2015-05-13,bottom,short,swing,daily,2,1,2015-05-07,2015-05-07,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2015-05-07|future_window=15d|future_max_ret=38.51%|prior_drawdown=-4.51%|rsi6=47.7
T201505_monthly_long_01,2015-05-28,2015-06-25,top,long,major,monthly,2,1,,,2015-06-12,2015-06-15,candidate_top|high_valuation,大模型辅助候选，需人工确认 pivot=2015-06-12|future_window=120d|future_min_ret=-53.12%|prior_rise=148.05%|rsi6=74.4
B201507_daily_short_01,2015-07-06,2015-07-10,bottom,short,minor,daily,2,1,2015-07-08,2015-07-09,,,oversold_rebound,
T201507_weekly_short_01,2015-07-21,2015-07-27,top,short,minor,weekly,2,1,,,2015-07-23,2015-07-24,,
B201507_daily_short_02,2015-07-31,2015-08-07,bottom,short,swing,daily,2,1,2015-08-03,2015-08-05,,,,
T201508_daily_short_01,2015-08-17,2015-08-20,top,short,swing,daily,2,1,,,2015-08-18,2015-08-18,,
B201508_daily_medium_01,2015-08-26,2015-09-30,bottom,medium,swing,daily,2,1,2015-09-15,2015-09-30,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2015-09-15|future_window=15d|future_max_ret=22.97%|prior_drawdown=-17.30%|rsi6=42.9
T201511_daily_short_01,2015-11-27,2016-01-05,top,short,swing,daily,2,1,,,2015-12-22,2015-12-31,weekly_boll_upper,
B201601_daily_short_01,2016-01-26,2016-02-02,bottom,short,swing,daily,2,1,2016-01-28,2016-02-01,,,,
B201602_daily_short_01,2016-02-26,2016-03-16,bottom,short,swing,daily,2,1,2016-02-29,2016-03-16,,,,
T201604_weekly_short_01,2016-04-12,2016-04-20,top,short,minor,weekly,2,1,,,2016-04-18,2016-04-19,,
B201605_daily_short_01,2016-05-11,2016-05-30,bottom,short,swing,daily,2,1,2016-05-12,2016-05-18,,,,
T201607_daily_short_01,2016-07-04,2016-07-22,top,short,swing,daily,2,1,,,2016-07-15,2016-07-22,,
B201607_daily_short_01,2016-07-27,2016-08-12,bottom,short,swing,daily,2,1,2016-08-01,2016-08-02,,,,
B201609_daily_short_01,2016-09-12,2016-09-27,bottom,short,minor,daily,2,1,2016-09-26,2016-09-27,,,,
B201611_weekly_medium_01,2016-11-10,2016-11-28,top,medium,swing,weekly,2,1,,,2016-11-17,2016-11-23,weekly_boll_upper,
B201701_daily_medium_01,2017-01-16,2017-01-23,bottom,medium,minor,daily,2,1,2017-01-16,2017-01-19,,,,
B201703_daily_short_01,2017-03-13,2017-04-14,top,short,swing,daily,2,1,,,2017-03-27,2017-03-28,weekly_kdj_dead_cross,
B201705_daily_short_01,2017-05-23,2017-06-06,bottom,short,swing,daily,2,1,2017-05-23,2017-06-01,,,,
B201707_daily_short_01,2017-07-12,2017-07-24,bottom,short,swing,daily,2,1,2017-07-18,2017-07-24,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2017-07-18|future_window=15d|future_max_ret=5.08%|prior_drawdown=-6.74%|below_boll_2|rsi6=10.3
T201709_monthly_long_01,2017-09-04,2017-11-10,top,long,major,monthly,2,1,,,2017-10-16,2017-10-18,candidate_top,大模型辅助候选，需人工确认 pivot=2017-10-11|future_window=120d|future_min_ret=-23.97%|prior_rise=13.47%|rsi6=79.4
T201801_daily_short_01,2018-01-19,2018-01-31,top,short,swing,daily,2,1,,,2018-01-29,2018-01-29,candidate_top,大模型辅助候选，需人工确认 pivot=2018-01-25|future_window=15d|future_min_ret=-14.30%|prior_rise=1.92%|rsi6=84.6
B201802_daily_short_01,2018-02-05,2018-02-22,bottom,short,swing,daily,2,1,2018-02-07,2018-02-09,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2018-02-09|future_window=15d|future_max_ret=12.95%|prior_drawdown=-14.41%|rsi6=14.8
B201803_daily_short_01,2018-03-12,2018-03-16,top,short,swing,daily,2,1,,,2018-03-12,2018-03-16,,
B201810_daily_short_01,2018-10-11,2018-11-02,bottom,short,swing,daily,2,1,2018-10-16,2018-10-19,,,,
