region_id,start_date,end_date,region_type,cycle,level,label_freq,confidence,usable_for_signal,entry_start,entry_end,exit_start,exit_end,reason,notes
B201501_daily_short_01,2015-01-27,2015-02-12,bottom,short,minor,daily,2,1,2015-02-11,2015-02-12,,,technical_pullback,
B201504_daily_short_01,2015-04-30,2015-05-13,bottom,short,swing,daily,2,1,2015-05-07,2015-05-07,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2015-05-07|future_window=15d|future_max_ret=38.51%|prior_drawdown=-4.51%|rsi6=47.7
T201505_monthly_long_01,2015-05-28,2015-06-25,top,long,major,monthly,2,1,,,2015-06-12,2015-06-15,candidate_top|high_valuation,大模型辅助候选，需人工确认 pivot=2015-06-12|future_window=120d|future_min_ret=-53.12%|prior_rise=148.05%|rsi6=74.4
B201507_daily_short_01,2015-07-06,2015-07-10,bottom,short,minor,daily,2,1,2015-07-08,2015-07-09,,,oversold_rebound,
T201507_weekly_short_01,2015-07-21,2015-07-27,top,short,minor,weekly,2,1,,,2015-07-23,2015-07-24,,
T201508_daily_short_01,2015-08-13,2015-08-17,top,short,swing,daily,2,1,,,2015-08-13,2015-08-17,,
B201508_daily_medium_01,2015-08-26,2015-09-30,bottom,medium,swing,daily,2,1,2015-09-15,2015-09-30,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2015-09-15|future_window=15d|future_max_ret=22.97%|prior_drawdown=-17.30%|rsi6=42.9
T201511_daily_short_01,2015-12-21,2015-12-28,top,short,swing,daily,2,1,,,2015-12-23,2015-12-24,weekly_boll_upper,
B201601_daily_short_01,2016-01-26,2016-02-02,bottom,short,swing,daily,2,1,2016-01-28,2016-01-30,,,,
B201602_daily_short_01,2016-02-26,2016-03-16,bottom,short,swing,daily,2,1,2016-02-29,2016-03-16,,,,
T201604_weekly_short_01,2016-04-12,2016-04-20,top,short,minor,weekly,2,1,,,2016-04-18,2016-04-19,,
B201605_daily_short_01,2016-05-11,2016-05-30,bottom,short,swing,daily,2,1,2016-05-12,2016-05-18,,,,
T201607_daily_short_01,2016-07-12,2016-07-19,top,short,swing,daily,2,1,,,2016-07-15,2016-07-16,,
B201607_daily_short_01,2016-08-15,2016-08-17,top,short,swing,daily,2,1,,,2016-08-15,2016-08-17,,
B201609_daily_short_01,2016-09-12,2016-09-27,bottom,short,minor,daily,2,1,2016-09-26,2016-09-27,,,,
B201611_weekly_medium_01,2016-11-28,2016-12-02,top,medium,swing,weekly,2,1,,,2016-11-30,2016-12-01,weekly_boll_upper,
B201612_daily_short_01,2016-12-19,2016-12-29,bottom,short,swing,daily,2,1,2016-12-19,2016-12-26,,,,
B201701_daily_medium_01,2017-01-16,2017-01-23,bottom,medium,minor,daily,2,1,2017-01-16,2017-01-19,,,,
B201703_daily_short_01,2017-03-13,2017-04-14,top,short,swing,daily,2,1,,,2017-03-27,2017-03-28,weekly_kdj_dead_cross,
B201705_daily_short_02,2017-05-05,2017-05-11,bottom,short,swing,daily,2,1,2017-05-08,2017-05-10,,,,
B201711_daily_short_01,2017-11-20,2017-11-27,top,short,swing,daily,2,1,,,2017-11-20,2017-11-27,,
B201712_daily_short_01,2017-12-21,2017-12-29,bottom,short,swing,daily,2,1,2017-12-27,2017-12-28,,,,
T201801_daily_short_01,2018-01-19,2018-01-31,top,short,swing,daily,2,1,,,2018-01-29,2018-01-29,candidate_top,大模型辅助候选，需人工确认 pivot=2018-01-25|future_window=15d|future_min_ret=-14.30%|prior_rise=1.92%|rsi6=84.6
B201802_daily_short_01,2018-02-08,2018-02-13,bottom,short,swing,daily,2,1,2018-02-09,2018-02-12,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2018-02-09|future_window=15d|future_max_ret=12.95%|prior_drawdown=-14.41%|rsi6=14.8
B201803_daily_short_01,2018-03-12,2018-03-16,top,short,swing,daily,2,1,,,2018-03-12,2018-03-16,,
B201804_weekly_long_01,2018-04-27,2018-05-25,top,long,major,weekly,2,1,,,2018-05-23,2018-05-24,,
T201807_daily_short_01,2018-07-20,2018-07-27,top,short,swing,daily,2,1,,,2018-07-20,2018-07-27,,
B201812_daily_short_01,2018-12-24,2019-01-03,bottom,medium,swing,daily,2,1,2018-12-27,2018-12-30,,,,
B201901_daily_short_01,2019-01-25,2019-02-13,bottom,short,swing,daily,2,1,2019-01-30,2019-01-31,,,candidate_bottom,大模型辅助候选，需人工确认 pivot=2019-01-31|future_window=15d|future_max_ret=22.38%|prior_drawdown=-6.43%|below_boll_2|rsi6=8.5
T201904_daily_short_01,2019-04-01,2019-04-12,top,short,swing,daily,2,1,,,2019-04-01,2019-04-08,candidate_top,大模型辅助候选，需人工确认 pivot=2019-04-08|future_window=15d|future_min_ret=-9.75%|prior_rise=8.39%|rsi6=94.5
