region_id,start_date,end_date,region_type,cycle,level,label_freq,confidence,usable_for_signal,entry_start,entry_end,exit_start,exit_end,reason,notes
B201501_weekly_medium_01,2015-01-26,2015-02-06,bottom,medium,swing,weekly,2,1,2015-01-30,2015-02-06,,,,
T201506_weekly_medium_01,2015-06-01,2015-06-12,top,medium,swing,weekly,2,1,,,2015-06-05,2015-06-12,,
B201509_weekly_medium_01,2015-09-14,2015-09-30,bottom,medium,swing,weekly,2,1,2015-09-18,2015-09-30,,,,
T201511_weekly_medium_01,2015-11-09,2015-12-25,top,medium,swing,weekly,2,1,,,2015-11-09,2015-12-25,,
B201601_weekly_medium_01,2016-01-25,2016-02-26,bottom,medium,swing,weekly,2,1,2016-01-29,2016-02-26,,,,
T201604_weekly_medium_01,2016-04-04,2016-04-22,top,medium,swing,weekly,2,1,,,2016-04-04,2016-04-22,,
B201605_weekly_medium_01,2016-05-09,2016-05-27,bottom,medium,swing,weekly,2,1,2016-05-09,2016-05-27,,,,
B201611_weekly_medium_01,2016-11-21,2016-12-09,top,medium,swing,weekly,2,1,,,2016-11-21,2016-12-09,,
B201612_weekly_medium_01,2016-12-26,2017-01-20,bottom,medium,swing,weekly,2,1,2016-12-26,2017-01-20,,,,
T201703_weekly_medium_01,2017-03-27,2017-04-14,top,medium,swing,weekly,2,1,,,2017-03-27,2017-04-14,,
B201705_weekly_medium_01,2017-05-01,2017-05-19,bottom,medium,swing,weekly,2,1,2017-05-01,2017-05-19,,,,
T201707_weekly_medium_01,2017-07-17,2017-07-28,top,short,swing,weekly,2,1,,,2017-07-17,2017-07-28,,
B201707_weekly_medium_01,2017-07-31,2017-08-11,bottom,medium,swing,weekly,2,1,2017-07-31,2017-08-11,,,,
T201711_weekly_medium_01,2017-11-06,2017-11-24,top,medium,swing,weekly,2,1,,,2017-11-06,2017-11-24,,
B201712_weekly_medium_01,2017-12-11,2017-12-29,bottom,medium,swing,weekly,2,1,2017-12-11,2017-12-29,,,,
T201801_weekly_medium_01,2018-01-22,2018-02-02,top,medium,swing,weekly,2,1,,,2018-01-26,2018-02-02,,
B201802_weekly_medium_01,2018-02-05,2018-02-14,bottom,medium,swing,weekly,2,1,2018-02-09,2018-02-14,,,,
