region_id,start_date,end_date,region_type,cycle,level,label_freq,confidence,usable_for_signal,entry_start,entry_end,exit_start,exit_end,reason,notes
T201506_weekly_long_01,2015-06-01,2015-06-19,top,long,swing,weekly,2,1,,,2015-06-12,2015-06-19,,
B201507_weekly_medium_01,2015-07-06,2015-07-17,bottom,short,swing,weekly,2,1,2015-07-10,2015-07-13,,,,
T201508_weekly_medium_01,2015-08-10,2015-08-21,top,medium,swing,weekly,2,1,,,2015-08-10,2015-08-21,,
B201508_weekly_medium_01,2015-08-31,2015-09-30,bottom,medium,swing,weekly,2,1,2015-09-02,2015-09-18,,,,
T201511_weekly_medium_01,2015-11-23,2015-12-31,top,medium,swing,weekly,2,1,,,2015-11-28,2015-12-25,,
B201602_weekly_medium_01,2016-02-22,2016-03-11,bottom,medium,swing,weekly,2,1,2016-02-26,2016-03-08,,,,
T201604_weekly_medium_01,2016-04-11,2016-04-22,top,short,swing,weekly,2,1,,,2016-04-11,2016-04-22,,
B201605_weekly_medium_01,2016-05-09,2016-05-27,bottom,medium,swing,weekly,2,1,2016-05-13,2016-05-20,,,,
T201607_weekly_medium_01,2016-07-11,2016-07-22,top,short,swing,weekly,2,1,,,2016-07-11,2016-07-22,,
B201608_weekly_medium_01,2016-08-01,2016-08-12,bottom,medium,swing,weekly,2,1,2016-08-05,2016-08-12,,,,
B201609_weekly_medium_01,2016-09-12,2016-09-30,bottom,medium,swing,weekly,2,1,2016-09-14,2016-09-30,,,,
T201611_weekly_medium_01,2016-11-14,2016-12-02,top,medium,swing,weekly,2,1,,,2016-11-14,2016-12-02,,
B201701_weekly_medium_01,2017-01-16,2017-02-03,bottom,medium,swing,weekly,2,1,2017-01-16,2017-02-03,,,,
T201703_weekly_medium_01,2017-03-06,2017-03-24,top,medium,swing,weekly,2,1,,,2017-03-06,2017-03-24,,
B201705_weekly_medium_01,2017-05-22,2017-06-09,bottom,medium,swing,weekly,2,1,2017-06-02,2017-06-09,,,,
B201707_weekly_medium_01,2017-07-03,2017-07-14,top,medium,swing,weekly,2,1,,,2017-07-03,2017-07-14,,
B201707_weekly_medium_02,2017-07-17,2017-08-11,bottom,medium,swing,weekly,2,1,2017-07-17,2017-08-11,,,,
T201709_weekly_medium_01,2017-09-11,2017-10-20,top,medium,swing,weekly,2,1,,,2017-09-22,2017-10-20,,
T201802_weekly_medium_01,2018-02-05,2018-02-14,bottom,medium,swing,weekly,2,1,2018-02-05,2018-02-14,,,,
T201803_weekly_medium_01,2018-03-19,2018-04-13,top,medium,swing,weekly,2,1,,,2018-03-19,2018-04-13,,
B201810_weekly_medium_01,2018-10-15,2018-10-26,bottom,medium,swing,weekly,2,1,2018-10-19,2018-10-26,,,,
T201811_weekly_medium_01,2018-11-12,2018-11-23,top,medium,swing,weekly,2,1,,,2018-11-16,2018-11-23,,
B201812_weekly_medium_01,2018-12-24,2019-02-01,bottom,medium,swing,weekly,2,1,2018-12-28,2019-02-01,,,,
T201904_weekly_medium_01,2019-04-01,2019-04-26,top,medium,swing,weekly,2,1,,,2019-04-01,2019-04-26,,
B201907_weekly_long_01,2019-07-22,2019-08-16,bottom,long,swing,weekly,2,1,2019-07-22,2019-08-16,,,,
