model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
bp,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,14,0.175,0.21428571428571427,0.25,0.42857142857142855,0.5714285714285714,-0.017937132142857144,0.033002585714285715,-0.07313166428571428,0.012450520499999998,-0.035714285714285726,-0.030387652642857144
bp,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,8,0.1,0.375,0.25,0.625,0.375,0.011078385,0.04153383000000001,-0.04722080125,0.012450520499999998,0.125,-0.001372135499999998
bp,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,11,0.1375,0.18181818181818182,0.25,0.45454545454545453,0.5454545454545454,-0.01774884090909091,0.03532635454545455,-0.06737369272727273,0.012450520499999998,-0.06818181818181818,-0.030199361409090908
bp,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,7,0.0875,0.2857142857142857,0.25,0.5714285714285714,0.42857142857142855,0.0030220442857142866,0.041029352857142855,-0.058021715714285715,0.012450520499999998,0.0357142857142857,-0.00942847621428571
bp,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,9,0.1125,0.2222222222222222,0.25,0.4444444444444444,0.5555555555555556,-0.023121882222222223,0.03723747222222222,-0.07184993333333334,0.012450520499999998,-0.02777777777777779,-0.03557240272222222
bp,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,5,0.0625,0.4,0.25,0.6,0.4,0.0016589240000000002,0.046750564,-0.062338158,0.012450520499999998,0.15000000000000002,-0.010791596499999997
bp,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,8,0.1,0.125,0.25,0.375,0.625,-0.03192779,0.03578394375,-0.07682790875,0.012450520499999998,-0.125,-0.0443783105
bp,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,4,0.05,0.25,0.25,0.5,0.5,-0.00975769,0.04622178,-0.069916165,0.012450520499999998,0.0,-0.0222082105
bp,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,6,0.075,0.16666666666666666,0.25,0.3333333333333333,0.6666666666666666,-0.04449984333333334,0.03289307,-0.09209959166666666,0.012450520499999998,-0.08333333333333334,-0.05695036383333334
bp,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,3,0.0375,0.3333333333333333,0.25,0.6666666666666666,0.3333333333333333,0.008972683333333334,0.05695592333333333,-0.03333486,0.012450520499999998,0.08333333333333331,-0.003477837166666664
