model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
bp,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,39,0.4875,0.15384615384615385,0.2625,0.4358974358974359,0.5641025641025641,0.01452118358974359,0.04611394743589744,-0.04055061769230769,0.012450520499999998,-0.10865384615384616,0.002070663089743593
bp,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,22,0.275,0.13636363636363635,0.2625,0.4090909090909091,0.5909090909090909,0.009369022727272726,0.04539968090909091,-0.04559218,0.012450520499999998,-0.12613636363636366,-0.003081497772727272
bp,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,34,0.425,0.17647058823529413,0.2625,0.47058823529411764,0.5294117647058824,0.020438735294117646,0.04957041029411764,-0.04059261294117647,0.012450520499999998,-0.08602941176470588,0.007988214794117649
bp,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,19,0.2375,0.15789473684210525,0.2625,0.42105263157894735,0.5789473684210527,0.01295131052631579,0.05014585736842105,-0.04761456105263158,0.012450520499999998,-0.10460526315789476,0.0005007900263157925
bp,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,22,0.275,0.22727272727272727,0.2625,0.5,0.5,0.02848516409090909,0.05924316590909091,-0.04051616227272727,0.012450520499999998,-0.035227272727272746,0.016034643590909094
bp,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,13,0.1625,0.3076923076923077,0.2625,0.6923076923076923,0.3076923076923077,0.035037450769230774,0.06759895538461538,-0.039873601538461534,0.012450520499999998,0.0451923076923077,0.022586930269230775
bp,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,8,0.1,0.25,0.2625,0.625,0.375,0.0129737175,0.05185679875,-0.03361400375,0.012450520499999998,-0.012500000000000011,0.000523197000000003
bp,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,7,0.0875,0.2857142857142857,0.2625,0.7142857142857143,0.2857142857142857,0.015378238571428572,0.05669518857142857,-0.03421994,0.012450520499999998,0.023214285714285687,0.002927718071428574
bp,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,3,0.0375,0.6666666666666666,0.2625,0.6666666666666666,0.3333333333333333,0.04535479,0.08993762,-0.03937685333333333,0.012450520499999998,0.4041666666666666,0.0329042695
bp,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,3,0.0375,0.6666666666666666,0.2625,0.6666666666666666,0.3333333333333333,0.04535479,0.08993762,-0.03937685333333333,0.012450520499999998,0.4041666666666666,0.0329042695
