week_start_date,week_end_date,week_pos,manual_weak_bottom_label,future_ret_3w,future_mfe_3w,future_mae_3w,is_bottom_candidate,is_top_candidate,turning_proba,test_year,year_complete,model,side,label_col,train_rows,tuned_params_json,tuning_status,manual_weak_top_label
2021-01-25,2021-01-29,310,0.0,0.03545762,0.03549823,-0.04808904,1,0,0.006412654087972337,2021,True,logistic,bottom,manual_weak_bottom_label,115,"{""C"": 1.0}",ok,
2021-02-01,2021-02-05,311,0.0,0.04633486,0.10158525,-0.00733430,1,0,0.2339800406561076,2021,True,logistic,bottom,manual_weak_bottom_label,115,"{""C"": 1.0}",ok,
2021-03-08,2021-03-12,316,0.0,0.02263074,0.02620136,-0.01450516,1,0,0.0681762883886389,2021,True,logistic,bottom,manual_weak_bottom_label,115,"{""C"": 1.0}",ok,
2021-03-15,2021-03-19,317,0.0,0.02379002,0.02952287,-0.01928804,1,0,0.20508913061109554,2021,True,logistic,bottom,manual_weak_bottom_label,115,"{""C"": 1.0}",ok,
2021-08-30,2021-09-03,341,0.0,0.00848884,0.05394884,-0.01020766,1,1,0.21151426430354897,2021,True,logistic,bottom,manual_weak_bottom_label,115,"{""C"": 1.0}",ok,
2021-10-11,2021-10-15,347,0.0,0.00532950,0.03165985,-0.01576973,1,0,0.204602653593752,2021,True,logistic,bottom,manual_weak_bottom_label,115,"{""C"": 1.0}",ok,
2021-10-25,2021-10-29,349,1.0,0.05666090,0.05696759,-0.01132722,1,0,0.0054958556493042866,2021,True,logistic,bottom,manual_weak_bottom_label,115,"{""C"": 1.0}",ok,
2021-11-01,2021-11-05,350,1.0,0.07459172,0.07915490,-0.00515347,1,0,0.009235017978259154,2021,True,logistic,bottom,manual_weak_bottom_label,115,"{""C"": 1.0}",ok,
2021-01-25,2021-01-29,310,0.0,0.03545762,0.03549823,-0.04808904,1,0,1.1576240582369618e-07,2021,True,lda,bottom,manual_weak_bottom_label,115,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",ok,
2021-02-01,2021-02-05,311,0.0,0.04633486,0.10158525,-0.00733430,1,0,0.007643634284388013,2021,True,lda,bottom,manual_weak_bottom_label,115,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",ok,
2021-03-08,2021-03-12,316,0.0,0.02263074,0.02620136,-0.01450516,1,0,5.509344553552536e-06,2021,True,lda,bottom,manual_weak_bottom_label,115,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",ok,
2021-03-15,2021-03-19,317,0.0,0.02379002,0.02952287,-0.01928804,1,0,1.8004557373958144e-05,2021,True,lda,bottom,manual_weak_bottom_label,115,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",ok,
2021-08-30,2021-09-03,341,0.0,0.00848884,0.05394884,-0.01020766,1,1,0.000980894134629191,2021,True,lda,bottom,manual_weak_bottom_label,115,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",ok,
2021-10-11,2021-10-15,347,0.0,0.00532950,0.03165985,-0.01576973,1,0,0.0016463158427648993,2021,True,lda,bottom,manual_weak_bottom_label,115,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",ok,
2021-10-25,2021-10-29,349,1.0,0.05666090,0.05696759,-0.01132722,1,0,1.3760288427132087e-09,2021,True,lda,bottom,manual_weak_bottom_label,115,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",ok,
2021-11-01,2021-11-05,350,1.0,0.07459172,0.07915490,-0.00515347,1,0,1.371274183501687e-08,2021,True,lda,bottom,manual_weak_bottom_label,115,"{""shrinkage"": ""auto"", ""solver"": ""lsqr""}",ok,
2021-01-25,2021-01-29,310,0.0,0.03545762,0.03549823,-0.04808904,1,0,1.0,2021,True,qda,bottom,manual_weak_bottom_label,115,"{""reg_param"": 0.2}",ok,
2021-02-01,2021-02-05,311,0.0,0.04633486,0.10158525,-0.00733430,1,0,1.0,2021,True,qda,bottom,manual_weak_bottom_label,115,"{""reg_param"": 0.2}",ok,
2021-03-08,2021-03-12,316,0.0,0.02263074,0.02620136,-0.01450516,1,0,0.9999999999999967,2021,True,qda,bottom,manual_weak_bottom_label,115,"{""reg_param"": 0.2}",ok,
2021-03-15,2021-03-19,317,0.0,0.02379002,0.02952287,-0.01928804,1,0,1.0,2021,True,qda,bottom,manual_weak_bottom_label,115,"{""reg_param"": 0.2}",ok,
2021-08-30,2021-09-03,341,0.0,0.00848884,0.05394884,-0.01020766,1,1,1.0,2021,True,qda,bottom,manual_weak_bottom_label,115,"{""reg_param"": 0.2}",ok,
2021-10-11,2021-10-15,347,0.0,0.00532950,0.03165985,-0.01576973,1,0,1.0,2021,True,qda,bottom,manual_weak_bottom_label,115,"{""reg_param"": 0.2}",ok,
2021-10-25,2021-10-29,349,1.0,0.05666090,0.05696759,-0.01132722,1,0,1.0,2021,True,qda,bottom,manual_weak_bottom_label,115,"{""reg_param"": 0.2}",ok,
2021-11-01,2021-11-05,350,1.0,0.07459172,0.07915490,-0.00515347,1,0,0.9999999999973059,2021,True,qda,bottom,manual_weak_bottom_label,115,"{""reg_param"": 0.2}",ok,
2021-01-25,2021-01-29,310,0.0,0.03545762,0.03549823,-0.04808904,1,0,0.006844989139868557,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",ok,
2021-02-01,2021-02-05,311,0.0,0.04633486,0.10158525,-0.00733430,1,0,0.020046053381870876,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",ok,
2021-03-08,2021-03-12,316,0.0,0.02263074,0.02620136,-0.01450516,1,0,0.11112087837446788,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",ok,
2021-03-15,2021-03-19,317,0.0,0.02379002,0.02952287,-0.01928804,1,0,0.07632760971714375,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",ok,
2021-08-30,2021-09-03,341,0.0,0.00848884,0.05394884,-0.01020766,1,1,0.06057571755850777,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",ok,
2021-10-11,2021-10-15,347,0.0,0.00532950,0.03165985,-0.01576973,1,0,0.014412241366948873,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",ok,
2021-10-25,2021-10-29,349,1.0,0.05666090,0.05696759,-0.01132722,1,0,0.02629811207863653,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",ok,
2021-11-01,2021-11-05,350,1.0,0.07459172,0.07915490,-0.00515347,1,0,0.009724785415657978,2021,True,lightgbm,bottom,manual_weak_bottom_label,115,"{""balanced_bagging"": true, ""is_unbalance"": true, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_samples"": 12, ""n_estimators"": 320, ""negative_sample_ratio"": 3.0, ""num_leaves"": 15}",ok,
