event_id,event_type,event_name,event_level,start_date,end_date,publish_date,source_org,source_title,source_url,source_text,is_predicted,prediction_confidence,status,tags,note
c98f92c615ae79f4,TWO_SESSIONS,2006年全国政协会议,national,2006-03-03,2006-03-13,2006-03-03,新华社,2006年全国政协会议官方报道,,2006年全国政协会议于2006-03-03开幕，2006-03-13闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,review,全国政协;两会;2006,请补新华社/新华网/中国政协网/中国政府网/人民网链接，替换新浪链接 待补：补source_url官方链接
b612cfeaa6be6f9a,TWO_SESSIONS,2007年全国政协会议,national,2007-03-03,2007-03-15,2007-03-03,新华社,2007年全国政协会议官方报道,,2007年全国政协会议于2007-03-03开幕，2007-03-15闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,review,全国政协;两会;2007,请补新华社/新华网/中国政协网/中国政府网/人民网链接，替换新浪链接 待补：补source_url官方链接
a1195cc9adb1b99b,CPC_PLENUM,十六届七中全会,national,2007-10-09,2007-10-12,2007-10-12,待补,十六届七中全会公报,,十六届七中全会于2007-10-09至2007-10-12召开，会议主题包括：十七大筹备。本库对中央全会按“届次+次数”保留为单条宏观政治事件。,false,1.0,review,中央全会;十六届七中全会;十七大筹备,中央全会标准化重建：每次全会只保留一条事件。 待补source_url官方链接。 待补：补source_url官方链接
5ce3e55c07cd0d34,CPC_PLENUM,十七届二中全会,national,2008-02-25,2008-02-27,2008-02-27,待补,十七届二中全会公报,,十七届二中全会于2008-02-25至2008-02-27召开，会议主题包括：行政管理体制改革。本库对中央全会按“届次+次数”保留为单条宏观政治事件。,false,1.0,review,中央全会;十七届二中全会;行政管理体制改革,中央全会标准化重建：每次全会只保留一条事件。 待补source_url官方链接。 待补：补source_url官方链接
456e5e682a96b6cf,TWO_SESSIONS,2010年全国人大会议,national,2010-03-05,2010-03-14,2010-03-14,新华社,2010年全国人大会议官方报道,,2010年全国人大会议于2010-03-05开幕，2010-03-14闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,review,全国人大;两会;2010,请补中国政府网/新华网/人大网/人民网链接，替换地方日报PDF 待补：补source_url官方链接
2120c22b717bccc5,TWO_SESSIONS,2011年全国政协会议,national,2011-03-03,2011-03-13,2011-03-13,新华社,2011年全国政协会议官方报道,,2011年全国政协会议于2011-03-03开幕，2011-03-13闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,review,全国政协;两会;2011,请补新华社/新华网/中国政协网/中国政府网/人民网链接，替换新浪链接 待补：补source_url官方链接
3ff485e61fc29482,TWO_SESSIONS,2011年全国人大会议,national,2011-03-05,2011-03-14,2011-03-14,新华社,2011年全国人大会议官方报道,,2011年全国人大会议于2011-03-05开幕，2011-03-14闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,review,全国人大;两会;2011,请补中国政府网/新华网/人大网/人民网链接，替换China Daily链接 待补：补source_url官方链接
eb99babc25167891,CPC_PLENUM,十八届一中全会,national,2012-11-15,2012-11-15,2012-11-15,待补,十八届一中全会公报,,十八届一中全会于2012-11-15至2012-11-15召开，会议主题包括：选举产生中央领导机构。本库对中央全会按“届次+次数”保留为单条宏观政治事件。,false,1.0,review,中央全会;十八届一中全会;选举产生中央领导机构,中央全会标准化重建：每次全会只保留一条事件。 待补source_url官方链接。 待补：补source_url官方链接
3bd88a8f01630ca2,CPC_PLENUM,十八届二中全会,national,2013-02-26,2013-02-28,2013-02-28,待补,十八届二中全会公报,,十八届二中全会于2013-02-26至2013-02-28召开，会议主题包括：国务院机构改革和职能转变。本库对中央全会按“届次+次数”保留为单条宏观政治事件。,false,1.0,review,中央全会;十八届二中全会;国务院机构改革和职能转变,中央全会标准化重建：每次全会只保留一条事件。 待补source_url官方链接。 待补：补source_url官方链接
9bc247509ac7efb3,TWO_SESSIONS,2014年全国政协会议,national,2014-03-03,2014-03-12,2014-03-12,新华社,2014年全国政协会议官方报道,,2014年全国政协会议于2014-03-03开幕，2014-03-12闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,review,全国政协;两会;2014,请补新华社/新华网/中国政协网/中国政府网/人民网链接，替换地方报纸链接 待补：补source_url官方链接
